net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Bleekstraat,7471CS,7471CS,GOOR,11,90.91,100.0,45,1x25,3589,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Pastoriestraat,7471CT,7471CT,GOOR,25,100.0,100.0,56,1x35,2126,96.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Javastraat,7471CV,7471CV,GOOR,26,88.46,100.0,100,1x35,1990,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,De Hogenkamp,7471CW,7471CW,GOOR,13,84.62,100.0,62,1x35,4429,92.31,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,D.J. Bunschotenstraat,7471CX,7471CX,GOOR,22,100.0,100.0,77,1x35,2448,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,D.J. Bunschotenstraat,7471CZ,7471DA,GOOR,20,95.0,100.0,50,1x35,2958,85.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Laarstraat,7471DB,7471DB,GOOR,26,88.46,96.15,85,1x35,2859,88.46,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Laarstraat,7471DC,7471DD,GOOR,22,81.82,100.0,36,1x35,4427,95.45,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Laarstraat,7471DE,7471DE,GOOR,12,83.33,100.0,75,1x35,2643,91.67,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Laarstraat,7471DG,7471DG,GOOR,18,88.89,100.0,72,1x35,3462,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Laarstraat,7471DH,7471DJ,GOOR,22,95.45,100.0,50,1x35,4340,95.45,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Herman Heijermansstraat,7471DK,7471DK,GOOR,18,100.0,100.0,56,1x35,3691,88.89,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Herman Heijermansstraat,7471DL,7471DL,GOOR,39,92.31,100.0,74,1x35,5068,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Herman Heijermansstraat,7471DM,7471DM,GOOR,22,100.0,100.0,50,1x35,2061,95.45,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Goeman Borgesiusstraat,7471DN,7471DN,GOOR,16,100.0,100.0,69,1x25,2269,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,van Kollaan,7471DP,7471DP,GOOR,24,91.67,100.0,75,1x35,3268,95.83,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,van Kollaan,7471DR,7471DR,GOOR,21,90.48,100.0,48,1x35,2724,90.48,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,van Kollaan,7471DS,7471DS,GOOR,55,100.0,100.0,91,1x35,2130,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Roerdompstraat,7471DT,7471DT,GOOR,17,5.88,100.0,71,1x25,1868,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Roerdompstraat,7471DV,7471DX,GOOR,23,26.09,100.0,61,1x25,3175,95.65,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Reigerstraat,7471DZ,7471DZ,GOOR,22,4.55,100.0,77,1x25,1662,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kwartelstraat,7471EA,7471EA,GOOR,26,23.08,100.0,58,1x25,1969,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kwartelstraat,7471EB,7471EB,GOOR,27,100.0,100.0,56,1x25,1825,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Guido Gezellehof,7471EC,7471ED,GOOR,23,78.26,100.0,52,1x25,2284,91.3,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Nachtegaalstraat,7471EE,7471EE,GOOR,22,95.45,100.0,50,1x35,3135,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Nachtegaalstraat,7471EG,7471EG,GOOR,10,40.0,100.0,50,1x25,1901,90.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Putterstraat,7471EH,7471EH,GOOR,17,41.18,100.0,47,1x25,2301,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Putterstraat,7471EJ,7471EJ,GOOR,19,42.11,100.0,58,1x25,2458,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kievitstraat,7471EK,7471EK,GOOR,18,77.78,100.0,61,1x35,2754,94.44,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kievitstraat,7471EL,7471EL,GOOR,14,50.0,100.0,50,1x35,6022,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kievitstraat,7471EM,7471EM,GOOR,16,25.0,100.0,75,1x25,2334,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kievitstraat,7471EN,7471EN,GOOR,16,56.25,100.0,56,1x35,2119,93.75,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Gruttostraat,7471EP,7471EP,GOOR,19,57.89,94.74,42,1x25,8112,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Gruttostraat,7471ER,7471ER,GOOR,14,85.71,78.57,29,3x25,10755,78.57,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Gruttostraat,7471ES,7471ES,GOOR,22,77.27,95.45,77,1x35,2842,90.91,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Holtdijk,7471ET,7471EV,GOOR,22,90.91,86.36,36,3x25,12104,95.45,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Wheeweg,7471EW,7471EW,GOOR,19,100.0,100.0,37,3x25,24213,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Lijsterstraat,7471EX,7471EX,GOOR,14,50.0,100.0,57,1x25,2508,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Lijsterstraat,7471EZ,7471EZ,GOOR,12,41.67,100.0,58,1x25,2626,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Merelstraat,7471GA,7471GA,GOOR,20,40.0,100.0,65,1x25,2340,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Merelstraat,7471GB,7471GB,GOOR,20,70.0,100.0,60,1x25,2716,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Merelstraat,7471GC,7471GC,GOOR,20,90.0,95.0,65,1x25,2167,95.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Wulpstraat,7471GD,7471GD,GOOR,22,40.91,100.0,59,1x35,2223,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Sperwerstraat,7471GE,7471GE,GOOR,18,61.11,94.44,44,1x35,3647,94.44,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Wheedwarsweg,7471GG,7471GG,GOOR,12,91.67,66.67,42,3x25,8940,91.67,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Spechthorstweg,7471GH,7471GK,GOOR,34,58.82,100.0,26,1x35,10278,88.24,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Fazantenstraat,7471GL,7471GM,GOOR,18,66.67,100.0,56,3x25,3340,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Scherpenzeelseweg,7471GN,7471GN,GOOR,14,92.86,100.0,43,3x25,3046,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Scherpenzeelseweg,7471GP,7471GP,GOOR,13,100.0,92.31,31,3x25,3089,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Scherpenzeelseweg,7471GR,7471GR,GOOR,15,33.33,100.0,47,1x35,2461,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Scherpenzeelseweg,7471GS,7471GS,GOOR,21,42.86,100.0,38,1x25,2958,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Leeuwerikstraat,7471GT,7471GT,GOOR,13,92.31,100.0,69,1x35,2857,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Leeuwerikstraat,7471GV,7471GV,GOOR,11,72.73,100.0,73,1x35,5152,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Leeuwerikstraat,7471GW,7471GW,GOOR,20,95.0,100.0,55,1x35,3350,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Vinkstraat,7471GX,7471GX,GOOR,22,100.0,100.0,59,1x35,2184,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Meerkolstraat,7471GZ,7471GZ,GOOR,22,90.91,100.0,50,1x25,2716,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Spreeuwenstraat,7471HA,7471HA,GOOR,22,100.0,100.0,68,1x35,2719,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Spreeuwenstraat,7471HB,7471HB,GOOR,24,95.83,100.0,75,1x35,4905,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Wielewaalstraat,7471HC,7471HC,GOOR,12,58.33,100.0,58,1x35,2635,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Wielewaalstraat,7471HD,7471HD,GOOR,24,12.5,100.0,54,1x25,1828,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Rietzangerstraat,7471HE,7471HE,GOOR,12,75.0,100.0,50,1x25,2303,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Meeuwenstraat,7471HG,7471HG,GOOR,16,75.0,100.0,44,1x35,2701,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Zwaluwstraat,7471HH,7471HH,GOOR,21,95.24,100.0,48,1x25,2645,95.24,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Zwaluwstraat,7471HJ,7471HJ,GOOR,20,100.0,100.0,55,1x35,2991,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Spechtstraat,7471HK,7471HK,GOOR,19,94.74,100.0,47,1x35,3063,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Spechtstraat,7471HL,7471HL,GOOR,20,80.0,100.0,45,1x35,3927,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Pluvierstraat,7471HM,7471HM,GOOR,18,100.0,100.0,56,1x25,4431,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Rembrandtstraat,7471HN,7471HN,GOOR,12,58.33,100.0,75,3x25,2595,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Rembrandtstraat,7471HP,7471HP,GOOR,12,66.67,100.0,58,3x25,2933,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Rembrandtstraat,7471HR,7471HR,GOOR,16,75.0,100.0,38,3x25,3485,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Rembrandtstraat,7471HS,7471HT,GOOR,21,76.19,100.0,43,1x25,3332,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Vermeerstraat,7471HV,7471HV,GOOR,15,80.0,100.0,60,1x25,2942,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Frans Halsstraat,7471HW,7471HW,GOOR,13,92.31,100.0,46,1x25,2890,92.31,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Rubensstraat,7471HX,7471HX,GOOR,15,80.0,93.33,53,3x25,3470,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Govert Flinckstraat,7471HZ,7471JB,GOOR,54,96.3,100.0,52,1x35,3978,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Markeloseweg,7471JC,7471JC,GOOR,18,88.89,100.0,72,1x25,3141,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Markeloseweg,7471JD,7471JD,GOOR,12,100.0,91.67,50,3x25,2917,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Markeloseweg,7471JE,7471JE,GOOR,24,95.83,95.83,46,1x35,2801,95.83,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Slagdijk,7471JG,7471JG,GOOR,13,100.0,100.0,46,1x35,3468,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Stoevelaarsweg,7471JH,7471JJ,GOOR,22,81.82,100.0,50,3x25,5267,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Klaproosstraat,7471JK,7471JK,GOOR,25,80.0,100.0,60,1x35,3356,96.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Klaproosstraat,7471JL,7471JL,GOOR,16,81.25,93.75,75,1x35,4263,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Rozenstraat,7471JM,7471JM,GOOR,12,83.33,100.0,58,1x35,4543,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Rozenstraat,7471JN,7471JN,GOOR,23,91.3,100.0,57,1x35,4758,82.61,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Leliestraat,7471JP,7471JP,GOOR,11,100.0,100.0,45,1x35,2555,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Dr. Schaepmanstraat,7471JR,7471JR,GOOR,23,91.3,100.0,65,1x35,3142,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Dr. Schaepmanstraat,7471JS,7471JT,GOOR,21,95.24,19.05,95,1x35,2663,76.19,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Dr. Schaepmanstraat,7471JV,7471JV,GOOR,16,87.5,50.0,75,1x35,2880,68.75,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Dr. Schaepmanstraat,7471JW,7471JW,GOOR,17,76.47,23.53,76,1x35,2551,64.71,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Dr. Schaepmanstraat,7471JX,7471JZ,GOOR,15,100.0,66.67,93,1x35,3396,86.67,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Lindelaan,7471KA,7471KA,GOOR,23,95.65,100.0,70,1x35,3366,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Lindelaan,7471KB,7471KB,GOOR,17,76.47,100.0,88,1x35,3442,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Lindelaan,7471KC,7471KC,GOOR,23,95.65,82.61,57,1x35,3595,82.61,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Lindelaan,7471KD,7471KD,GOOR,17,94.12,100.0,71,1x35,2982,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Lindelaan,7471KE,7471KG,GOOR,24,79.17,100.0,100,1x35,2932,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,J.M. de Bruijnstraat,7471KH,7471KH,GOOR,17,76.47,100.0,41,1x35,3791,94.12,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,J.M. de Bruijnstraat,7471KJ,7471KK,GOOR,19,42.11,100.0,79,1x35,2436,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,J.M. de Bruijnstraat,7471KL,7471KL,GOOR,12,33.33,100.0,100,1x35,1852,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Deldensestraat,7471KT,7471KT,GOOR,18,100.0,100.0,44,1x35,4384,94.44,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Deldensestraat,7471KV,7471KV,GOOR,19,89.47,89.47,58,3x25,7856,89.47,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Deldensestraat,7471KW,7471KW,GOOR,21,90.48,100.0,48,3x25,6419,95.24,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Deldensestraat,7471KX,7471KX,GOOR,15,93.33,100.0,40,1x25,3780,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Deldensestraat,7471KZ,7471KZ,GOOR,28,92.86,100.0,61,3x25,5203,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Borghoeksweg,7471LA,7471LC,GOOR,34,73.53,100.0,50,3x25,5146,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Gondalaan,7471LD,7471LD,GOOR,24,87.5,100.0,50,1x25,3230,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Gondalaan,7471LE,7471LE,GOOR,14,100.0,100.0,57,1x25,2848,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Magnoliastraat,7471LG,7471LG,GOOR,13,46.15,53.85,54,3x25,3526,76.92,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Oude Haaksbergerweg,7471LH,7471LH,GOOR,35,97.14,100.0,60,3x25,2621,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Oude Haaksbergerweg,7471LJ,7471LJ,GOOR,18,94.44,38.89,67,1x35,2981,66.67,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Oude Haaksbergerweg,7471LK,7471LK,GOOR,14,64.29,42.86,50,1x35,4234,64.29,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Oude Haaksbergerweg,7471LL,7471LL,GOOR,15,100.0,100.0,33,3x25,8629,93.33,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Oude Haaksbergerweg,7471LM,7471LM,GOOR,19,89.47,100.0,47,1x25,3386,94.74,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Oude Haaksbergerweg,7471LN,7471LN,GOOR,21,90.48,100.0,48,1x35,3238,95.24,0.0
